keys,en,ru
SETTINGS,Settings,Настройки
LANGUAGE,Language:,Язык:
GRAPHICS,Graphics:,Графика:
SOUNDS,Sounds:,Звуки:
INPUT,Input:,Ввод:
MUSIC_SET,Music volume,Громкость музыки
SOUND_SET,Sound volume (affects ALL sounds),Общая громкость
SENS_SET,Mouse sensivity,Чувствительность мыши
DYNAMIC_GI_SET,Dynamic GI,Динамичная графика (например свечение текстур)
FOG_SET,"Volumetric fog toggle\n
(if disabled, then standard fog appears instead of volumetric)","Объемная дымка\n(если отключено, применяется обычная дымка)"
